,event,adc
55,28,"[201.0, 202.0, 203.0, 342.0, 442.0, 436.0, 387.0, 335.0, 294.0, 268.0]"
56,29,"[201.0, 202.0, 206.0, 657.0, 970.0, 953.0, 796.0, 634.0, 506.0, 418.0]"
57,29,"[199.0, 200.0, 205.0, 553.0, 801.0, 788.0, 668.0, 540.0, 440.0, 370.0]"
58,30,"[200.0, 198.0, 204.0, 526.0, 754.0, 742.0, 630.0, 513.0, 421.0, 356.0]"
59,30,"[199.0, 199.0, 202.0, 277.0, 328.0, 325.0, 298.0, 271.0, 255.0, 238.0]"
60,30,"[201.0, 199.0, 202.0, 338.0, 436.0, 432.0, 387.0, 336.0, 295.0, 265.0]"
61,30,"[198.0, 200.0, 200.0, 259.0, 301.0, 298.0, 277.0, 255.0, 239.0, 227.0]"
62,31,"[200.0, 202.0, 203.0, 341.0, 440.0, 434.0, 387.0, 334.0, 295.0, 269.0]"
63,31,"[200.0, 202.0, 202.0, 269.0, 315.0, 312.0, 288.0, 265.0, 244.0, 233.0]"
64,33,"[197.0, 200.0, 202.0, 379.0, 505.0, 497.0, 436.0, 371.0, 321.0, 286.0]"
65,33,"[205.0, 200.0, 202.0, 267.0, 311.0, 308.0, 285.0, 261.0, 244.0, 230.0]"
66,34,"[200.0, 199.0, 201.0, 306.0, 376.0, 369.0, 333.0, 296.0, 266.0, 249.0]"
67,34,"[198.0, 199.0, 201.0, 355.0, 471.0, 465.0, 411.0, 352.0, 309.0, 278.0]"
68,34,"[199.0, 198.0, 202.0, 359.0, 469.0, 466.0, 413.0, 356.0, 311.0, 278.0]"
69,35,"[199.0, 198.0, 201.0, 296.0, 362.0, 357.0, 326.0, 290.0, 258.0, 241.0]"
70,36,"[197.0, 195.0, 202.0, 376.0, 501.0, 494.0, 433.0, 367.0, 319.0, 284.0]"
71,39,"[200.0, 201.0, 203.0, 298.0, 361.0, 356.0, 323.0, 289.0, 265.0, 248.0]"
72,39,"[199.0, 201.0, 202.0, 357.0, 466.0, 453.0, 402.0, 346.0, 305.0, 276.0]"
73,40,"[203.0, 201.0, 200.0, 287.0, 349.0, 346.0, 317.0, 284.0, 257.0, 238.0]"
74,40,"[197.0, 199.0, 200.0, 512.0, 733.0, 719.0, 613.0, 499.0, 408.0, 349.0]"
75,41,"[200.0, 200.0, 202.0, 286.0, 340.0, 336.0, 307.0, 281.0, 257.0, 242.0]"
76,41,"[199.0, 198.0, 203.0, 428.0, 581.0, 568.0, 494.0, 414.0, 352.0, 310.0]"
77,41,"[201.0, 198.0, 203.0, 291.0, 348.0, 345.0, 314.0, 283.0, 259.0, 242.0]"
78,41,"[198.0, 200.0, 203.0, 325.0, 408.0, 402.0, 360.0, 317.0, 282.0, 256.0]"
79,42,"[199.0, 199.0, 204.0, 382.0, 503.0, 494.0, 435.0, 369.0, 322.0, 291.0]"
80,43,"[199.0, 200.0, 204.0, 436.0, 596.0, 584.0, 506.0, 421.0, 354.0, 310.0]"
81,43,"[201.0, 199.0, 201.0, 504.0, 718.0, 706.0, 602.0, 491.0, 404.0, 347.0]"
82,44,"[203.0, 202.0, 201.0, 385.0, 515.0, 506.0, 446.0, 379.0, 327.0, 288.0]"
83,44,"[200.0, 201.0, 203.0, 294.0, 360.0, 355.0, 321.0, 285.0, 259.0, 243.0]"
84,44,"[200.0, 200.0, 201.0, 405.0, 551.0, 544.0, 474.0, 401.0, 344.0, 304.0]"
