,event,adc
55,28,"[197.0, 199.0, 200.0, 199.0, 278.0, 421.0, 446.0, 406.0, 354.0, 311.0]"
56,29,"[200.0, 199.0, 197.0, 199.0, 457.0, 902.0, 979.0, 853.0, 684.0, 544.0]"
57,29,"[199.0, 197.0, 195.0, 196.0, 395.0, 740.0, 805.0, 708.0, 578.0, 468.0]"
58,30,"[199.0, 200.0, 200.0, 199.0, 388.0, 706.0, 763.0, 672.0, 550.0, 449.0]"
59,30,"[203.0, 203.0, 202.0, 201.0, 242.0, 320.0, 329.0, 309.0, 283.0, 258.0]"
60,30,"[200.0, 198.0, 200.0, 199.0, 280.0, 420.0, 447.0, 407.0, 352.0, 309.0]"
61,30,"[201.0, 203.0, 202.0, 203.0, 235.0, 296.0, 307.0, 288.0, 265.0, 245.0]"
62,31,"[200.0, 201.0, 201.0, 201.0, 283.0, 422.0, 445.0, 404.0, 352.0, 305.0]"
63,31,"[203.0, 202.0, 203.0, 203.0, 244.0, 310.0, 323.0, 303.0, 278.0, 256.0]"
64,33,"[198.0, 200.0, 199.0, 197.0, 300.0, 480.0, 515.0, 466.0, 396.0, 338.0]"
65,33,"[203.0, 198.0, 195.0, 198.0, 236.0, 297.0, 307.0, 290.0, 267.0, 249.0]"
66,34,"[200.0, 200.0, 201.0, 204.0, 260.0, 362.0, 380.0, 351.0, 313.0, 280.0]"
67,34,"[198.0, 200.0, 200.0, 200.0, 288.0, 444.0, 472.0, 432.0, 372.0, 321.0]"
68,34,"[200.0, 201.0, 203.0, 203.0, 292.0, 450.0, 479.0, 435.0, 377.0, 325.0]"
69,35,"[197.0, 199.0, 199.0, 199.0, 256.0, 350.0, 366.0, 338.0, 303.0, 273.0]"
70,37,"[201.0, 199.0, 200.0, 199.0, 298.0, 473.0, 504.0, 455.0, 389.0, 334.0]"
71,39,"[202.0, 198.0, 198.0, 198.0, 246.0, 335.0, 353.0, 330.0, 296.0, 267.0]"
72,39,"[201.0, 199.0, 201.0, 202.0, 376.0, 680.0, 738.0, 651.0, 535.0, 436.0]"
73,40,"[199.0, 197.0, 198.0, 203.0, 255.0, 343.0, 357.0, 333.0, 300.0, 271.0]"
74,40,"[203.0, 197.0, 198.0, 200.0, 290.0, 444.0, 471.0, 428.0, 372.0, 325.0]"
75,41,"[200.0, 201.0, 200.0, 200.0, 247.0, 330.0, 346.0, 322.0, 290.0, 263.0]"
76,41,"[199.0, 197.0, 200.0, 199.0, 330.0, 549.0, 587.0, 524.0, 441.0, 370.0]"
77,41,"[201.0, 203.0, 204.0, 206.0, 255.0, 338.0, 350.0, 326.0, 291.0, 264.0]"
78,41,"[201.0, 199.0, 200.0, 201.0, 271.0, 391.0, 410.0, 374.0, 331.0, 294.0]"
79,42,"[201.0, 201.0, 204.0, 202.0, 303.0, 481.0, 514.0, 463.0, 394.0, 338.0]"
80,43,"[201.0, 200.0, 199.0, 200.0, 307.0, 490.0, 523.0, 472.0, 402.0, 345.0]"
81,43,"[202.0, 203.0, 201.0, 200.0, 251.0, 344.0, 363.0, 335.0, 303.0, 274.0]"
82,43,"[198.0, 198.0, 197.0, 199.0, 314.0, 520.0, 558.0, 503.0, 426.0, 359.0]"
83,44,"[202.0, 200.0, 201.0, 202.0, 336.0, 564.0, 604.0, 539.0, 451.0, 377.0]"
84,44,"[205.0, 204.0, 200.0, 200.0, 372.0, 672.0, 729.0, 646.0, 534.0, 438.0]"
85,45,"[202.0, 202.0, 201.0, 201.0, 300.0, 474.0, 506.0, 458.0, 393.0, 334.0]"
86,47,"[203.0, 202.0, 201.0, 200.0, 507.0, 1030.0, 1122.0, 973.0, 776.0, 609.0]"
87,47,"[201.0, 201.0, 201.0, 199.0, 295.0, 459.0, 489.0, 441.0, 380.0, 328.0]"
88,48,"[202.0, 202.0, 203.0, 205.0, 244.0, 314.0, 327.0, 305.0, 278.0, 255.0]"
89,49,"[202.0, 200.0, 199.0, 200.0, 314.0, 510.0, 544.0, 490.0, 415.0, 352.0]"
90,49,"[203.0, 203.0, 201.0, 202.0, 243.0, 315.0, 328.0, 308.0, 279.0, 257.0]"
91,50,"[198.0, 198.0, 199.0, 199.0, 453.0, 887.0, 964.0, 841.0, 677.0, 540.0]"
92,50,"[201.0, 204.0, 203.0, 201.0, 304.0, 478.0, 508.0, 458.0, 392.0, 336.0]"
93,51,"[201.0, 203.0, 202.0, 203.0, 245.0, 321.0, 337.0, 312.0, 285.0, 261.0]"
94,51,"[202.0, 200.0, 200.0, 202.0, 378.0, 684.0, 738.0, 652.0, 535.0, 437.0]"
95,52,"[197.0, 197.0, 200.0, 200.0, 270.0, 391.0, 412.0, 376.0, 333.0, 295.0]"
96,52,"[200.0, 198.0, 197.0, 199.0, 260.0, 361.0, 378.0, 351.0, 312.0, 279.0]"
97,53,"[202.0, 202.0, 202.0, 201.0, 372.0, 663.0, 715.0, 633.0, 523.0, 431.0]"
98,53,"[201.0, 202.0, 202.0, 201.0, 281.0, 419.0, 440.0, 401.0, 349.0, 306.0]"
99,54,"[198.0, 196.0, 198.0, 198.0, 236.0, 300.0, 311.0, 293.0, 268.0, 250.0]"
100,54,"[200.0, 199.0, 200.0, 199.0, 256.0, 356.0, 373.0, 344.0, 307.0, 276.0]"
101,54,"[200.0, 200.0, 199.0, 198.0, 234.0, 296.0, 307.0, 288.0, 267.0, 247.0]"
102,54,"[201.0, 200.0, 198.0, 198.0, 248.0, 333.0, 347.0, 325.0, 293.0, 266.0]"
103,55,"[203.0, 201.0, 201.0, 201.0, 546.0, 1143.0, 1253.0, 1086.0, 857.0, 667.0]"
104,55,"[200.0, 200.0, 200.0, 201.0, 310.0, 500.0, 533.0, 480.0, 410.0, 350.0]"
105,56,"[200.0, 201.0, 202.0, 202.0, 401.0, 749.0, 814.0, 717.0, 584.0, 472.0]"
106,56,"[202.0, 202.0, 201.0, 200.0, 247.0, 326.0, 339.0, 316.0, 287.0, 263.0]"
107,57,"[202.0, 200.0, 199.0, 198.0, 256.0, 360.0, 381.0, 352.0, 318.0, 285.0]"
108,57,"[198.0, 198.0, 200.0, 199.0, 334.0, 574.0, 618.0, 552.0, 461.0, 386.0]"
109,58,"[201.0, 201.0, 200.0, 200.0, 251.0, 338.0, 354.0, 328.0, 296.0, 269.0]"
110,58,"[201.0, 203.0, 202.0, 202.0, 241.0, 313.0, 324.0, 305.0, 279.0, 256.0]"
111,60,"[200.0, 201.0, 200.0, 200.0, 440.0, 859.0, 938.0, 824.0, 665.0, 529.0]"
112,60,"[200.0, 200.0, 201.0, 203.0, 309.0, 492.0, 526.0, 474.0, 404.0, 343.0]"
113,60,"[199.0, 200.0, 201.0, 200.0, 276.0, 413.0, 438.0, 398.0, 347.0, 304.0]"
114,60,"[205.0, 204.0, 203.0, 205.0, 299.0, 470.0, 504.0, 456.0, 389.0, 333.0]"
115,61,"[203.0, 202.0, 202.0, 203.0, 362.0, 631.0, 679.0, 603.0, 498.0, 409.0]"
116,61,"[201.0, 199.0, 200.0, 200.0, 242.0, 315.0, 331.0, 312.0, 280.0, 255.0]"
117,61,"[200.0, 198.0, 198.0, 200.0, 248.0, 332.0, 349.0, 325.0, 294.0, 265.0]"
118,62,"[203.0, 204.0, 202.0, 204.0, 404.0, 750.0, 811.0, 713.0, 580.0, 471.0]"
119,62,"[201.0, 201.0, 199.0, 198.0, 240.0, 309.0, 322.0, 302.0, 274.0, 252.0]"
120,62,"[204.0, 202.0, 200.0, 198.0, 252.0, 346.0, 364.0, 340.0, 305.0, 273.0]"
121,63,"[200.0, 199.0, 199.0, 201.0, 261.0, 360.0, 375.0, 345.0, 307.0, 276.0]"
122,63,"[200.0, 202.0, 203.0, 201.0, 283.0, 429.0, 454.0, 415.0, 356.0, 311.0]"
123,64,"[203.0, 202.0, 201.0, 202.0, 291.0, 446.0, 472.0, 430.0, 372.0, 322.0]"
124,64,"[197.0, 201.0, 202.0, 201.0, 412.0, 776.0, 841.0, 738.0, 598.0, 483.0]"
125,67,"[203.0, 201.0, 199.0, 199.0, 416.0, 783.0, 847.0, 742.0, 604.0, 486.0]"
126,67,"[204.0, 203.0, 202.0, 199.0, 254.0, 346.0, 363.0, 338.0, 303.0, 274.0]"
127,69,"[200.0, 201.0, 201.0, 200.0, 346.0, 612.0, 660.0, 584.0, 484.0, 403.0]"
128,70,"[200.0, 200.0, 200.0, 201.0, 427.0, 817.0, 889.0, 778.0, 629.0, 504.0]"
129,70,"[201.0, 200.0, 203.0, 202.0, 262.0, 363.0, 380.0, 349.0, 311.0, 280.0]"
130,71,"[201.0, 201.0, 199.0, 199.0, 349.0, 613.0, 660.0, 587.0, 487.0, 405.0]"
131,71,"[200.0, 200.0, 201.0, 202.0, 255.0, 341.0, 358.0, 334.0, 299.0, 270.0]"
132,72,"[201.0, 203.0, 202.0, 197.0, 405.0, 759.0, 823.0, 723.0, 588.0, 474.0]"
133,72,"[203.0, 203.0, 204.0, 201.0, 261.0, 364.0, 381.0, 350.0, 311.0, 279.0]"
134,73,"[203.0, 203.0, 202.0, 204.0, 250.0, 330.0, 345.0, 320.0, 287.0, 262.0]"
135,73,"[200.0, 203.0, 203.0, 200.0, 261.0, 368.0, 389.0, 359.0, 320.0, 289.0]"
136,74,"[201.0, 199.0, 201.0, 199.0, 257.0, 363.0, 384.0, 354.0, 315.0, 280.0]"
137,75,"[198.0, 197.0, 196.0, 196.0, 267.0, 396.0, 422.0, 388.0, 341.0, 299.0]"
138,75,"[199.0, 201.0, 201.0, 204.0, 251.0, 339.0, 354.0, 328.0, 293.0, 267.0]"
139,76,"[201.0, 200.0, 200.0, 200.0, 326.0, 538.0, 576.0, 518.0, 434.0, 365.0]"
140,76,"[197.0, 199.0, 200.0, 201.0, 242.0, 309.0, 322.0, 301.0, 274.0, 257.0]"
141,77,"[199.0, 199.0, 198.0, 199.0, 311.0, 509.0, 545.0, 493.0, 418.0, 354.0]"
142,77,"[202.0, 204.0, 204.0, 205.0, 358.0, 616.0, 661.0, 587.0, 488.0, 404.0]"
143,78,"[201.0, 200.0, 197.0, 201.0, 445.0, 865.0, 939.0, 821.0, 661.0, 527.0]"
144,78,"[199.0, 200.0, 201.0, 199.0, 254.0, 350.0, 369.0, 340.0, 304.0, 274.0]"
145,78,"[200.0, 201.0, 202.0, 202.0, 447.0, 862.0, 935.0, 816.0, 657.0, 523.0]"
146,79,"[201.0, 202.0, 203.0, 201.0, 349.0, 609.0, 660.0, 586.0, 484.0, 398.0]"
147,79,"[202.0, 202.0, 201.0, 202.0, 372.0, 667.0, 723.0, 642.0, 530.0, 434.0]"
148,81,"[201.0, 200.0, 201.0, 202.0, 325.0, 555.0, 601.0, 538.0, 452.0, 381.0]"
149,81,"[199.0, 199.0, 198.0, 200.0, 248.0, 331.0, 345.0, 322.0, 290.0, 262.0]"
150,82,"[196.0, 198.0, 201.0, 202.0, 445.0, 884.0, 968.0, 846.0, 680.0, 539.0]"
151,82,"[199.0, 199.0, 199.0, 199.0, 237.0, 303.0, 316.0, 297.0, 270.0, 249.0]"
152,82,"[200.0, 200.0, 199.0, 199.0, 489.0, 976.0, 1060.0, 921.0, 736.0, 580.0]"
153,83,"[202.0, 201.0, 201.0, 200.0, 341.0, 595.0, 643.0, 571.0, 475.0, 395.0]"
154,83,"[202.0, 199.0, 198.0, 198.0, 361.0, 646.0, 698.0, 619.0, 513.0, 427.0]"
155,84,"[197.0, 201.0, 201.0, 201.0, 373.0, 681.0, 739.0, 651.0, 537.0, 440.0]"
156,84,"[199.0, 200.0, 200.0, 202.0, 289.0, 441.0, 470.0, 427.0, 367.0, 319.0]"
157,84,"[198.0, 199.0, 199.0, 201.0, 296.0, 462.0, 492.0, 445.0, 380.0, 329.0]"
158,84,"[202.0, 202.0, 200.0, 199.0, 409.0, 774.0, 839.0, 735.0, 600.0, 485.0]"
159,86,"[204.0, 202.0, 202.0, 204.0, 352.0, 610.0, 657.0, 584.0, 486.0, 402.0]"
160,86,"[197.0, 197.0, 199.0, 198.0, 279.0, 416.0, 440.0, 401.0, 350.0, 303.0]"
161,87,"[202.0, 202.0, 201.0, 198.0, 252.0, 343.0, 359.0, 335.0, 299.0, 269.0]"
162,87,"[202.0, 198.0, 199.0, 202.0, 484.0, 960.0, 1044.0, 908.0, 727.0, 574.0]"
