TIM_CONF_ID LOGIC_ID TIME_PAR1 TIME_PAR2
0000 1220370001 3 1
0000 1220370002 3 1
0000 1220370003 3 1
0000 1220370004 3 1
0000 1220370005 3 0
0000 1220370006 3 1
0000 1220370007 3 1
0000 1220370008 3 1
0000 1220370009 3 1
0000 1220370010 3 1
0000 1220370011 3 0
0000 1220370012 3 0
0000 1220370013 3 1
0000 1220370014 3 1
0000 1220370015 3 1
0000 1220370016 3 1
0000 1220370017 3 0
0000 1220370018 3 0
0000 1220370019 3 1
0000 1220370020 3 1
0000 1220370021 3 1
0000 1220370022 3 1
0000 1220370023 3 1
0000 1220370024 3 1
0000 1220370025 3 1
0000 1220370026 3 1
0000 1220370027 3 1
0000 1220370028 3 0
0000 1220370029 3 0
0000 1220370030 3 0
0000 1220370031 3 0
0000 1220370032 3 0
0000 1220370033 3 1
0000 1220370034 3 0
0000 1220370035 3 0
0000 1220370036 3 1
0000 1220370037 3 1
0000 1220370038 3 1
0000 1220370039 3 1
0000 1220370040 3 1
0000 1220370041 3 1
0000 1220370042 3 1
0000 1220370043 3 0
0000 1220370044 3 1
0000 1220370045 3 1
0000 1220370046 3 1
0000 1220370047 3 1
0000 1220370048 3 1
0000 1220370049 3 1
0000 1220370050 3 1
0000 1220370051 3 1
0000 1220370052 3 1
0000 1220370053 3 1
0000 1220370054 3 1
0000 1220370055 3 1
0000 1220370056 3 1
0000 1220370057 3 1
0000 1220370058 3 1
0000 1220370059 3 1
0000 1220370060 3 1
0000 1220370061 3 1
0000 1220370062 3 1
0000 1220370063 3 1
0000 1220370064 3 1
0000 1220370065 3 1
0000 1220370066 3 1
0000 1220370067 3 1
0000 1220370068 3 1
0000 1220380001 3 1
0000 1220380002 3 1
0000 1220380003 3 1
0000 1220380004 3 1
0000 1220380005 3 1
0000 1220380006 3 1
0000 1220380007 3 1
0000 1220380008 3 1
0000 1220380009 3 1
0000 1220380010 3 1
0000 1220380011 3 1
0000 1220380012 3 1
0000 1220380013 3 1
0000 1220380014 3 1
0000 1220380015 3 1
0000 1220380016 3 1
0000 1220380017 3 1
0000 1220380018 3 1
0000 1220380019 3 1
0000 1220380020 3 1
0000 1220380021 3 1
0000 1220380022 3 1
0000 1220380023 3 1
0000 1220380024 3 1
0000 1220380025 3 1
0000 1220380026 3 1
0000 1220380027 3 1
0000 1220380028 3 1
0000 1220380029 3 1
0000 1220380030 3 1
0000 1220380031 3 1
0000 1220380032 3 1
0000 1220380033 3 1
0000 1220380034 3 1
0000 1220380035 3 1
0000 1220380036 3 1
0000 1220380037 3 1
0000 1220380038 3 1
0000 1220380039 3 1
0000 1220380040 3 1
0000 1220380041 3 1
0000 1220380042 3 1
0000 1220380043 3 1
0000 1220380044 3 1
0000 1220380045 3 1
0000 1220380046 3 1
0000 1220380047 3 1
0000 1220380048 3 1
0000 1220380049 3 1
0000 1220380050 3 1
0000 1220380051 3 1
0000 1220380052 3 1
0000 1220380053 3 1
0000 1220380054 3 1
0000 1220380055 3 1
0000 1220380056 3 1
0000 1220380057 3 1
0000 1220380058 3 1
0000 1220380059 3 1
0000 1220380060 3 1
0000 1220380061 3 1
0000 1220380062 3 1
0000 1220380063 3 1
0000 1220380064 3 1
0000 1220380065 3 1
0000 1220380066 3 1
0000 1220380067 3 1
0000 1220380068 3 1
0000 1220390001 3 1
0000 1220390002 3 1
0000 1220390003 3 1
0000 1220390004 3 1
0000 1220390005 3 1
0000 1220390006 3 1
0000 1220390007 3 0
0000 1220390008 3 1
0000 1220390009 3 1
0000 1220390010 3 1
0000 1220390011 3 1
0000 1220390012 3 1
0000 1220390013 3 1
0000 1220390014 3 1
0000 1220390015 3 1
0000 1220390016 3 1
0000 1220390017 3 1
0000 1220390018 3 1
0000 1220390019 3 1
0000 1220390020 3 1
0000 1220390021 3 1
0000 1220390022 3 1
0000 1220390023 3 1
0000 1220390024 3 1
0000 1220390025 3 1
0000 1220390026 3 1
0000 1220390027 3 1
0000 1220390028 3 1
0000 1220390029 3 1
0000 1220390030 3 1
0000 1220390031 3 1
0000 1220390032 3 1
0000 1220390033 3 1
0000 1220390034 3 1
0000 1220390035 3 1
0000 1220390036 3 1
0000 1220390037 3 1
0000 1220390038 3 1
0000 1220390039 3 1
0000 1220390040 3 1
0000 1220390041 3 1
0000 1220390042 3 1
0000 1220390043 3 1
0000 1220390044 3 1
0000 1220390045 3 1
0000 1220390046 3 1
0000 1220390047 3 1
0000 1220390048 3 1
0000 1220390049 3 1
0000 1220390050 3 1
0000 1220390051 3 1
0000 1220390052 3 1
0000 1220390053 3 1
0000 1220390054 3 1
0000 1220390055 3 1
0000 1220390056 3 1
0000 1220390057 3 1
0000 1220390058 3 1
0000 1220390059 3 1
0000 1220390060 3 1
0000 1220390061 3 1
0000 1220390062 3 1
0000 1220390063 3 1
0000 1220390064 3 1
0000 1220390065 3 1
0000 1220390066 3 1
0000 1220390067 3 1
0000 1220390068 3 1
0000 1220400001 3 1
0000 1220400002 3 1
0000 1220400003 3 1
